J7,lambda_K2,E0,r3,switched
-0.5,0.02,8.0,0.9856933310705777,0
-0.45,0.05,8.0,0.980193458441163,0
-0.4,0.08,2.0,0.9691363847430517,0
-0.4,0.02,2.0,0.9690944309632069,0
-0.5,0.01,8.0,0.9856411758028581,0
-0.45,0.06,3.0,0.9801476051604163,0
-0.45,0.01,2.0,0.980169010704394,0
-0.5,0.04,7.0,0.985722678596585,0
-0.5,0.02,2.0,0.9856907303618464,0
-0.45,0.03,2.0,0.9801151283966064,0
-0.45,0.06,16.0,0.9802276065584011,0
-0.45,0.01,7.0,0.9801141680079101,0
-0.5,0.01,4.0,0.9856683990037455,0
-0.5,0.03,6.0,0.9856871982018978,0
-0.45,0.08,1.0,0.9801728871739075,0
-0.5,0.01,1.0,0.9857376203800958,0
-0.45,0.03,4.0,0.9801956192557567,0
-0.5,0.03,10.0,0.9857435589447024,0
-0.45,0.05,7.0,0.9801890658247484,0
-0.45,0.08,7.0,0.9801449228794824,0
-0.45,0.02,7.0,0.9802068305342182,0
-0.5,0.03,1.0,0.9857256610542071,0
-0.5,0.01,2.0,0.9857306299541586,0
-0.45,0.05,4.0,0.9801550886763664,0
-0.4,0.04,5.0,0.9691170573614339,0
-0.45,0.06,7.0,0.9801717330079736,0
-0.5,0.02,5.0,0.985703011280454,0
-0.5,0.02,7.0,0.9857127200341068,0
-0.5,0.05,5.0,0.9856979923857683,0
-0.5,0.03,2.0,0.9856517902033034,0
-0.45,0.04,5.0,0.9801680443400423,0
-0.45,0.08,8.0,0.980145669825889,0
-0.45,0.08,2.0,0.9801534607890712,0
-0.45,0.01,12.0,0.9802372403373629,0
-0.5,0.04,10.0,0.9857301102593308,0
-0.5,0.02,10.0,0.9856738481755712,0
-0.45,0.08,6.0,0.9801437574795596,0
-0.5,0.03,5.0,0.9857055780033702,0
-0.4,0.08,4.0,0.9691196663959968,0
-0.5,0.05,1.0,0.9857062044101376,0
-0.45,0.02,16.0,0.9802759915056831,0
-0.5,0.03,12.0,0.9857384964231352,0
-0.45,0.04,6.0,0.9801922255879558,0
-0.5,0.01,5.0,0.9856228156754786,0
-0.5,0.02,12.0,0.9857113147548829,0
-0.5,0.03,8.0,0.9857060225927422,0
-0.5,0.05,2.0,0.9856858961074393,0
-0.45,0.08,5.0,0.9801418430669114,0
-0.5,0.03,3.0,0.9856753748187562,0
-0.5,0.04,5.0,0.9856857603751121,0
-0.5,0.03,16.0,0.9857745115277591,0
-0.5,0.05,16.0,0.9857761095384773,0
-0.5,0.06,8.0,0.9857175154949406,0
-0.5,0.04,4.0,0.9856979384335885,0
-0.5,0.08,4.0,0.9856896078588835,0
-0.5,0.01,3.0,0.9857086529900649,0
-0.5,0.02,16.0,0.9857546745924365,0
-0.5,0.04,6.0,0.9856999741015198,0
-0.5,0.04,1.0,0.9857148632208985,0
-0.5,0.08,2.0,0.9856957204370361,0
-0.5,0.06,2.0,0.9856956376781397,0
-0.4,0.05,8.0,0.9691186588632873,0
-0.5,0.05,8.0,0.9857178132800679,0
-0.45,0.08,16.0,0.9801685498991688,0
-0.5,0.06,16.0,0.9857632630340948,0
-0.5,0.06,5.0,0.9857030164538257,0
-0.5,0.06,4.0,0.9856887582559187,0
-0.5,0.04,16.0,0.9857735371845903,0
-0.5,0.08,1.0,0.9857105749531837,0
-0.5,0.05,4.0,0.9856854243889649,0
-0.5,0.02,6.0,0.9857219697413079,0
-0.5,0.04,3.0,0.985705568403562,0
-0.5,0.05,3.0,0.9856984907468277,0
-0.55,0.01,10.0,0.9889570668708032,0
-0.5,0.01,16.0,0.9856656264609223,0
-0.55,0.01,12.0,0.9889649553333735,0
-0.5,0.06,10.0,0.985728584119234,0
-0.5,0.06,12.0,0.9857414122738501,0
-0.5,0.08,16.0,0.9857274962289582,0
-0.5,0.05,12.0,0.9857488087280094,0
-0.5,0.08,6.0,0.9856912997206824,0
-0.5,0.06,3.0,0.985688272468684,0
-0.55,0.01,5.0,0.9890137670355702,0
-0.5,0.05,10.0,0.9857396039960692,0
-0.5,0.06,7.0,0.9857075734263128,0
-0.5,0.02,3.0,0.9856326565450322,0
-0.45,0.01,1.0,0.9801791316747481,0
-0.55,0.01,4.0,0.9890609615809531,0
-0.5,0.04,12.0,0.9857547062235419,0
-0.55,0.01,1.0,0.9890934714704985,0
-0.5,0.06,1.0,0.985703318267572,0
-0.45,0.05,5.0,0.9801755418391828,0
-0.5,0.08,5.0,0.9856880261427402,0
-0.5,0.08,8.0,0.9856970503014203,0
-0.5,0.08,10.0,0.9857049909552195,0
-0.55,0.01,8.0,0.9889363785836203,0
-0.5,0.08,3.0,0.985686065004111,0
-0.5,0.02,1.0,0.9857337865121659,0
-0.5,0.05,7.0,0.9857166448071767,0
-0.55,0.01,16.0,0.9889064934122186,0
-0.55,0.02,2.0,0.9890683377923518,0
-0.5,0.04,8.0,0.9857306302546146,0
-0.55,0.02,1.0,0.9890948582139986,0
-0.55,0.02,3.0,0.989002033331606,0
-0.55,0.01,2.0,0.9890981403596,0
-0.5,0.08,12.0,0.9857121941988923,0
-0.55,0.01,6.0,0.9889678228929211,0
-0.55,0.03,5.0,0.9890026826752321,0
-0.55,0.02,7.0,0.9889955064333273,0
-0.55,0.02,6.0,0.9890048078157316,0
-0.55,0.02,8.0,0.9889762497920188,0
-0.55,0.02,16.0,0.9889753407027748,0
-0.5,0.04,2.0,0.9856620536978522,0
-0.55,0.02,10.0,0.9889417102118992,0
-0.55,0.02,12.0,0.9889468337305922,0
-0.5,0.08,7.0,0.985694781880615,0
-0.55,0.02,5.0,0.9889956617334537,0
-0.55,0.03,6.0,0.9889819591747577,0
