lattice,dtype,strength,half_width,e0,sigma_k,seed,label,final_r3,final_zz_frac,final_zz_on_band_density,final_zz_off_band_density,final_zz_on_band_pct,final_pinning_enrichment,quench_r3,quench_zz_frac,quench_zz_on_band_density,quench_zz_off_band_density,quench_zz_on_band_pct,quench_pinning_enrichment,written,pinned_written
36,kred,0.5,2.0,6.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E6p00_sig0p500_seed000,0.0006522286779013087,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761510543,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,8.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E8p00_sig0p500_seed000,0.000652228677896349,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761515549,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,9.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E9p00_sig0p500_seed000,0.0006522286778926029,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761518453,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,10.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E10p00_sig0p500_seed000,0.0006522286778871298,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761523062,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,10.5,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E10p50_sig0p500_seed000,0.0006522286778840215,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761528454,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,11.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E11p00_sig0p500_seed000,0.0006522286778803579,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761532645,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,11.5,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E11p50_sig0p500_seed000,0.000652228677876537,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761538528,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,12.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E12p00_sig0p500_seed000,0.0006522286778722397,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761546462,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,12.5,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E12p50_sig0p500_seed000,0.0006522286778674585,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761553086,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,13.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E13p00_sig0p500_seed000,0.0006522286778620064,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.00065222867615628,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,13.5,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E13p50_sig0p500_seed000,0.0006522286778565891,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761573085,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,14.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E14p00_sig0p500_seed000,0.0006522286778505726,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.00065222867615808,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,15.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E15p00_sig0p500_seed000,0.0006522286778376284,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761619087,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,16.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E16p00_sig0p500_seed000,0.0006522286778241043,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0006522286761661739,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,17.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E17p00_sig0p500_seed000,0.0006522286778102697,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.000652228676170203,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,18.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E18p00_sig0p500_seed000,0.0004937947496287314,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0004937947485344243,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,19.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E19p00_sig0p500_seed000,0.0004937947493495237,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0004937947484541059,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,20.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E20p00_sig0p500_seed000,0.0004937947491030887,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0.0004937947484397745,0.009259259259259259,0.0,0.011494252873563218,0.0,0.0,0,0
36,kred,0.5,2.0,22.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E22p00_sig0p500_seed000,0.0002987614131085729,0.009645061728395061,0.0,0.011973180076628353,0.0,0.0,0.000298761416206633,0.009645061728395061,0.0,0.011973180076628353,0.0,0.0,0,0
36,kred,0.5,2.0,35.0,0.3,3,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E35p00_sig0p300_seed003,1.0,0.0,0.0,0.0,0.0,0.0,0.030151470937758537,0.09143518518518519,0.07936507936507936,0.09434865900383142,16.877637130801688,0.8411892675852066,1,0
36,kred,0.5,2.0,25.0,0.5,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E25p00_sig0p500_seed000,0.0002987614172187431,0.009645061728395061,0.0,0.011973180076628353,0.0,0.0,0.0002987614169409021,0.009645061728395061,0.0,0.011973180076628353,0.0,0.0,0,0
36,kred,0.5,2.0,35.0,0.3,7,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E35p00_sig0p300_seed007,0.00017874419235196942,0.0,0.0,0.0,0.0,0.0,0.0001787834077493122,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,30.0,0.3,2,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E30p00_sig0p300_seed002,0.001477021243236801,0.0,0.0,0.0,0.0,0.0,0.0014770212433780395,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,30.0,0.3,6,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E30p00_sig0p300_seed006,0.016914266979701723,0.04050925925925926,0.08333333333333333,0.03017241379310345,40.0,2.7619047619047614,0.016914266977204773,0.04050925925925926,0.08333333333333333,0.03017241379310345,40.0,2.7619047619047614,0,0
36,kred,0.5,2.0,0.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E0p00_sig0p500_seed001,0.0028264886602588574,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269968,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,6.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E6p00_sig0p500_seed001,0.0028264886602807505,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269916,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,8.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E8p00_sig0p500_seed001,0.0028264886602887107,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269877,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,9.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E9p00_sig0p500_seed001,0.0028264886602955494,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.00282648866142699,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,50.0,0.3,12,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E50p00_sig0p300_seed012,1.0,0.0,0.0,0.0,0.0,0.0,0.27224052958305905,0.11188271604938271,0.061507936507936505,0.12404214559386974,10.689655172413794,0.49586321014892437,1,0
36,kred,0.5,2.0,10.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E10p00_sig0p500_seed001,0.002826488660305065,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269786,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,10.5,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E10p50_sig0p500_seed001,0.002826488660310696,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269864,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,11.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E11p00_sig0p500_seed001,0.0028264886603171727,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269872,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,12.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E12p00_sig0p500_seed001,0.0028264886603328802,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.002826488661426991,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
