lattice,dtype,strength,half_width,e0,sigma_k,seed,label,final_r3,final_zz_frac,final_zz_on_band_density,final_zz_off_band_density,final_zz_on_band_pct,final_pinning_enrichment,quench_r3,quench_zz_frac,quench_zz_on_band_density,quench_zz_off_band_density,quench_zz_on_band_pct,quench_pinning_enrichment,written,pinned_written
36,kred,0.5,2.0,50,0.1,3,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E50p00_sig0p100_seed003,1.0,0.0,0.0,0.0,0.0,0.0,0.015113270280965447,0.1724537037037037,0.12301587301587301,0.18438697318007663,13.870246085011185,0.6671614100185528,1,0
36,kred,0.5,2.0,18,0.1,2,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E18p00_sig0p100_seed002,0.29736164893629,0.2974537037037037,0.19642857142857142,0.3218390804597701,12.84046692607004,0.6103316326530612,0.29736334412977294,0.2974537037037037,0.19642857142857142,0.3218390804597701,12.84046692607004,0.6103316326530612,1,0
36,kred,0.5,2.0,16,0.1,3,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E16p00_sig0p100_seed003,0.3584367555529867,0.24845679012345678,0.20833333333333334,0.2581417624521073,16.304347826086957,0.8070500927643784,0.3584412051898765,0.24845679012345678,0.20833333333333334,0.2581417624521073,16.304347826086957,0.8070500927643784,1,0
36,kred,0.5,2.0,13,0.1,5,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E13p00_sig0p100_seed005,0.16500760074281898,0.052083333333333336,0.16071428571428573,0.02586206896551724,60.0,6.214285714285714,0.16501320671598535,0.052083333333333336,0.16071428571428573,0.02586206896551724,60.0,6.214285714285714,0,0
36,kred,0.5,2.0,14,0.0,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E14p00_sig0p000_seed000,0.05497028506099675,0.0,0.0,0.0,0.0,0.0,0.054974130856271466,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,2.0,20,0.1,5,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E20p00_sig0p100_seed005,0.26450505360897447,0.3287037037037037,0.31547619047619047,0.33189655172413796,18.661971830985916,0.950525664811379,0.2645058697052591,0.3287037037037037,0.31547619047619047,0.33189655172413796,18.661971830985916,0.950525664811379,1,0
36,kred,0.5,2.0,10,0.1,5,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E10p00_sig0p100_seed005,0.08598132373010389,0.03279320987654321,0.09523809523809523,0.017720306513409962,56.470588235294116,5.374517374517374,0.08598506653715142,0.03279320987654321,0.09523809523809523,0.017720306513409962,56.470588235294116,5.374517374517374,0,0
36,kred,0.5,2.0,8,0.0,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E8p00_sig0p000_seed000,0.09477798449489158,0.008873456790123456,0.03571428571428571,0.0023946360153256703,78.26086956521739,14.914285714285715,0.09480042727886463,0.008873456790123456,0.03571428571428571,0.0023946360153256703,78.26086956521739,14.914285714285715,0,0
36,kred,0.5,2.0,19,0.1,3,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E19p00_sig0p100_seed003,0.10754227357982013,0.5277777777777778,0.44246031746031744,0.5483716475095786,16.301169590643276,0.806862133499688,0.10755026416457304,0.5277777777777778,0.44246031746031744,0.5483716475095786,16.301169590643276,0.806862133499688,1,0
36,kred,0.5,2.0,22,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E22p00_sig0p100_seed000,0.27885783784237844,0.31712962962962965,0.2876984126984127,0.3242337164750958,17.63990267639903,0.88731799957797,0.27885820605472506,0.31712962962962965,0.2876984126984127,0.3242337164750958,17.63990267639903,0.88731799957797,1,0
36,kred,0.5,2.0,14,0.1,4,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E14p00_sig0p100_seed004,0.42475331509868025,0.22453703703703703,0.19047619047619047,0.23275862068965517,16.49484536082474,0.818342151675485,0.42475750802066464,0.22453703703703703,0.19047619047619047,0.23275862068965517,16.49484536082474,0.818342151675485,1,0
36,kred,0.5,2.0,16,0.1,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E16p00_sig0p100_seed001,0.07162500095587221,0.020833333333333332,0.06349206349206349,0.01053639846743295,59.25925925925926,6.025974025974025,0.07162668458888295,0.020833333333333332,0.06349206349206349,0.01053639846743295,59.25925925925926,6.025974025974025,0,0
36,kred,0.5,2.0,17,0.1,4,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E17p00_sig0p100_seed004,0.2634417752315275,0.31983024691358025,0.2619047619047619,0.33381226053639845,15.922798552472859,0.7845870055339209,0.2634409748261256,0.31983024691358025,0.2619047619047619,0.33381226053639845,15.922798552472859,0.7845870055339209,1,0
36,kred,0.5,2.0,50,0.1,4,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E50p00_sig0p100_seed004,1.0,0.0,0.0,0.0,0.0,0.0,0.01717375099711673,0.1412037037037037,0.1349206349206349,0.14272030651340997,18.579234972677597,0.9453499520613613,1,0
36,kred,0.5,2.0,9,0.1,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E9p00_sig0p100_seed001,0.10707558163893616,0.03009259259259259,0.08333333333333333,0.017241379310344827,53.84615384615385,4.833333333333333,0.10709673921380317,0.03009259259259259,0.08333333333333333,0.017241379310344827,53.84615384615385,4.833333333333333,0,0
36,kred,0.5,2.0,19,0.1,2,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E19p00_sig0p100_seed002,0.2670159429449884,0.3368055555555556,0.2996031746031746,0.3457854406130268,17.29667812142039,0.8664424218440839,0.2670143222606481,0.3368055555555556,0.2996031746031746,0.3457854406130268,17.29667812142039,0.8664424218440839,1,0
36,kred,0.5,2.0,35,0.1,0,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E35p00_sig0p100_seed000,0.02011325675405208,0.7013888888888888,0.3611111111111111,0.7835249042145593,10.011001100110011,0.46088019559902205,0.02011322116325019,0.7013888888888888,0.3611111111111111,0.7835249042145593,10.011001100110011,0.46088019559902205,1,0
36,kred,0.5,2.0,8,0.1,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E8p00_sig0p100_seed001,0.10201408045560637,0.02854938271604938,0.0873015873015873,0.014367816091954023,59.45945945945946,6.076190476190476,0.10203115669583118,0.02854938271604938,0.0873015873015873,0.014367816091954023,59.45945945945946,6.076190476190476,0,0
