lattice,dtype,strength,half_width,e0,sigma_k,seed,label,final_r3,final_zz_frac,final_zz_on_band_density,final_zz_off_band_density,final_zz_on_band_pct,final_pinning_enrichment,quench_r3,quench_zz_frac,quench_zz_on_band_density,quench_zz_off_band_density,quench_zz_on_band_pct,quench_pinning_enrichment,written,pinned_written
36,kred,0.5,1.8,35,0.1,4,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E35p00_sig0p100_seed004,0.0015523052121801007,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0.0015523052188735312,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0,0
36,kred,0.5,1.8,9,0.1,3,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E9p00_sig0p100_seed003,0.0005996410919599005,0.0,0.0,0.0,0.0,0.0,0.0005996410920331123,0.0,0.0,0.0,0.0,0.0,0,0
36,kred,0.5,1.8,16,0.1,5,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E16p00_sig0p100_seed005,0.005010965708783748,0.016589506172839507,0.06746031746031746,0.004310344827586207,79.06976744186046,15.65079365079365,0.005010965708920333,0.016589506172839507,0.06746031746031746,0.004310344827586207,79.06976744186046,15.65079365079365,0,0
36,kred,0.5,1.8,18,0.1,0,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E18p00_sig0p100_seed000,0.0003504852915835968,0.0628858024691358,0.061507936507936505,0.06321839080459771,19.01840490797546,0.9729437229437228,0.00035048529055623553,0.0628858024691358,0.061507936507936505,0.06321839080459771,19.01840490797546,0.9729437229437228,1,0
36,kred,0.5,1.8,35,0.1,0,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E35p00_sig0p100_seed000,0.0001246357994845375,0.08757716049382716,0.07738095238095238,0.09003831417624521,17.180616740088105,0.8594224924012158,0.0001246360077547423,0.08757716049382716,0.07738095238095238,0.09003831417624521,17.180616740088105,0.8594224924012158,1,0
36,kred,0.5,1.8,13,0.1,4,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E13p00_sig0p100_seed004,0.0009891799854436568,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0.0009891799854180967,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0,0
36,kred,0.5,1.8,8,0.1,2,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E8p00_sig0p100_seed002,5.53318193675367e-07,0.012345679012345678,0.007936507936507936,0.013409961685823755,12.5,0.5918367346938775,5.533181935694765e-07,0.012345679012345678,0.007936507936507936,0.013409961685823755,12.5,0.5918367346938775,0,0
36,kred,0.5,1.8,10,0.1,6,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E10p00_sig0p100_seed006,4.9724851416571096e-05,0.02199074074074074,0.013888888888888888,0.023946360153256706,12.280701754385966,0.58,4.972485029284125e-05,0.02199074074074074,0.013888888888888888,0.023946360153256706,12.280701754385966,0.58,0,0
36,kred,0.5,1.8,10,0.1,1,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E10p00_sig0p100_seed001,3.821969961568825e-06,0.059799382716049385,0.17857142857142858,0.031130268199233715,58.064516129032256,5.736263736263736,3.821969961128036e-06,0.059799382716049385,0.17857142857142858,0.031130268199233715,58.064516129032256,5.736263736263736,0,0
36,kred,0.5,1.8,10.5,0.1,0,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E10p50_sig0p100_seed000,0.00035048529050209394,0.0628858024691358,0.061507936507936505,0.06321839080459771,19.01840490797546,0.9729437229437228,0.0003504852905555143,0.0628858024691358,0.061507936507936505,0.06321839080459771,19.01840490797546,0.9729437229437228,1,0
36,kred,0.5,1.8,50,0.1,4,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E50p00_sig0p100_seed004,1.0,0.0,0.0,0.0,0.0,0.0,0.1755638672205419,0.14699074074074073,0.061507936507936505,0.16762452107279693,8.136482939632545,0.36693877551020404,1,0
36,kred,0.5,1.8,22,0.0,0,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E22p00_sig0p000_seed000,0.0029660082734948856,0.020833333333333332,0.02976190476190476,0.01867816091954023,27.77777777777778,1.5934065934065933,0.002966008271956067,0.020833333333333332,0.02976190476190476,0.01867816091954023,27.77777777777778,1.5934065934065933,0,0
36,kred,0.5,1.8,25,0.1,4,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E25p00_sig0p100_seed004,0.00098917998584367,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0.0009891799854179837,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0,0
36,kred,0.5,1.8,30,0.1,4,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E30p00_sig0p100_seed004,0.000989179986309746,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0.0009891799854178554,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0,0
36,kred,0.5,1.8,6,0.0,0,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E6p00_sig0p000_seed000,0.002638748135409738,0.020833333333333332,0.02976190476190476,0.01867816091954023,27.77777777777778,1.5934065934065933,0.002638748135407784,0.020833333333333332,0.02976190476190476,0.01867816091954023,27.77777777777778,1.5934065934065933,0,0
36,kred,0.5,1.8,18,0.0,0,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E18p00_sig0p000_seed000,0.002966008272460505,0.020833333333333332,0.02976190476190476,0.01867816091954023,27.77777777777778,1.5934065934065933,0.0029660082718617224,0.020833333333333332,0.02976190476190476,0.01867816091954023,27.77777777777778,1.5934065934065933,0,0
36,kred,0.5,1.8,0,0.1,6,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E0p00_sig0p100_seed006,4.9724851415813076e-05,0.02199074074074074,0.013888888888888888,0.023946360153256706,12.280701754385966,0.58,4.972485029283057e-05,0.02199074074074074,0.013888888888888888,0.023946360153256706,12.280701754385966,0.58,0,0
36,kred,0.5,1.8,9,0.1,6,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E9p00_sig0p100_seed006,4.9724851416356255e-05,0.02199074074074074,0.013888888888888888,0.023946360153256706,12.280701754385966,0.58,4.972485029283903e-05,0.02199074074074074,0.013888888888888888,0.023946360153256706,12.280701754385966,0.58,0,0
36,kred,0.5,1.8,50,0.0,0,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E50p00_sig0p000_seed000,0.001242639387531131,0.020061728395061727,0.02976190476190476,0.017720306513409962,28.846153846153847,1.6795366795366795,0.0012426393718150902,0.020061728395061727,0.02976190476190476,0.017720306513409962,28.846153846153847,1.6795366795366795,0,0
36,kred,0.5,1.8,0,0.1,4,L36_kred_s0p500_hw1p80_global-zero-k_allJKGG_E0p00_sig0p100_seed004,0.0009891799854234158,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0.0009891799854181108,0.02044753086419753,0.04563492063492063,0.014367816091954023,43.39622641509434,3.176190476190476,0,0
