J7,E_3Q_meV,E_ZZ_meV,E_3Q_per_site,E_ZZ_per_site,dE_meV,dE_per_site,r3_3Q,r3_ZZ,zzfrac_3Q,zzfrac_ZZ,ground_state
-0.0,-22274.01889326461,-22274.01889326461,-8.593371486599,-8.593371486599,0.0,0.0,2.599070982461631e-39,1.064711648642167e-32,0.0,1.0,3Q
-0.05,-22209.21889326461,-22209.21889326461,-8.568371486599,-8.568371486599,0.0,0.0,2.599070982461631e-39,1.064711648642167e-32,0.0,1.0,3Q
-0.1,-22144.418893264607,-22144.418893264607,-8.543371486599,-8.543371486599,0.0,0.0,1.582731065825465e-29,1.064711648642167e-32,0.0,1.0,3Q
-0.15,-22048.54405153056,-22079.618893264607,-8.50638273593,-8.518371486599,31.074841734047368,0.011988750668999756,8.469563755126038e-07,1.064711648642167e-32,0.14776234567901234,1.0,ZZ
-0.2,-22002.98400369475,-22014.81889326461,-8.488805556981,-8.493371486599,11.834889569861843,0.004565929618002254,3.655583154752902e-07,1.266032139976174e-32,0.02662037037037037,1.0,ZZ
-0.25,-21950.01889326461,-21950.01889326461,-8.468371486599,-8.468371486599,0.0,0.0,2.599070982461631e-39,1.064711648642167e-32,0.0,1.0,3Q
-0.3,-21881.818811507907,-21885.21889326461,-8.442059726662,-8.443371486599,3.4000817567030026,0.0013117599369996153,9.321173905842046e-05,1.064711648642167e-32,0.0,1.0,ZZ
-0.35,-21780.237368424383,-21820.418893264607,-8.402869355102,-8.418371486599,40.181524840223574,0.015502131496999836,0.09782086396786648,1.064711648642167e-32,0.0,1.0,ZZ
-0.4,-21750.286157669085,-21755.618893264607,-8.391314104039,-8.393371486599,5.332735595522536,0.0020573825600009783,0.9691319820111229,1.8623282503728864e-32,0.0,1.0,ZZ
-0.45,-21759.12869248915,-21690.81889326461,-8.394725575806,-8.368371486599,-68.30979922453844,-0.026354089206997854,0.9801815247177007,4.3807713830651205e-30,0.0,1.0,3Q
-0.5,-21768.298401031774,-21626.01889326461,-8.398263272003,-8.343371486599,-142.27950776716534,-0.05489178540399897,0.9857385562153923,2.0245364958959042e-32,0.0,1.0,3Q
-0.55,-21777.66909903197,-21562.289025899903,-8.401878510429,-8.318784346412,-215.38007313206617,-0.08309416401700084,0.9890899941389595,9.787749860120253e-32,0.0,1.0,3Q
-0.6,-21787.18102216771,-21512.155511432447,-8.405548233861,-8.299442712744,-275.0255107352641,-0.10610552111700004,0.9913110227462838,2.889886534287457e-32,0.0,1.0,3Q
-0.65,-21796.800189578207,-21471.418586650176,-8.409259332399,-8.283726306578,-325.3816029280315,-0.12553302582099982,0.9928754425967975,1.9043333097461488e-07,0.0,1.0,3Q
-0.7,-21806.50520236205,-21454.515797537377,-8.413003550294,-8.277205168803,-351.9894048246715,-0.13579838149099982,0.9940265631108904,5.594325145700253e-32,0.0,1.0,3Q
